player,h1,h2,h3,depth,games,wins,draws,win_rate,draw_rate,lose_rate,mean_time
o,1.0,0.0,0.0,2,10,4,0,0.4,0.0,0.6,0.019583134110925233
x,1.0,0.0,0.0,2,10,3,0,0.3,0.0,0.7,0.01026704806603217
o,0.75,0.25,0.0,2,10,7,0,0.7,0.0,0.3,0.04118145702053849
x,0.75,0.25,0.0,2,10,5,0,0.5,0.0,0.5,0.04813860332845404
o,1.0,0.0,0.0,2,10,5,0,0.5,0.0,0.5,0.012189324119927325
x,1.0,0.0,0.0,2,10,5,0,0.5,0.0,0.5,0.016177836761761082
o,0.75,0.0,0.25,2,10,5,0,0.5,0.0,0.5,0.020101656131173873
x,0.75,0.0,0.25,2,10,7,0,0.7,0.0,0.3,0.02113550337412024
o,1.0,0.0,0.0,2,10,3,0,0.3,0.0,0.7,0.017402209851933623
x,1.0,0.0,0.0,2,10,6,0,0.6,0.0,0.4,0.009489821371872544
o,0.25,0.75,0.0,2,10,4,0,0.4,0.0,0.6,0.03173413558012712
x,0.25,0.75,0.0,2,10,6,0,0.6,0.0,0.4,0.04318960696888281
o,1.0,0.0,0.0,2,10,4,0,0.4,0.0,0.6,0.009854062055361082
x,1.0,0.0,0.0,2,10,4,0,0.4,0.0,0.6,0.008438454913279584
o,0.0,0.75,0.25,2,10,6,0,0.6,0.0,0.4,0.033740063176432154
x,0.0,0.75,0.25,2,10,6,0,0.6,0.0,0.4,0.037640026847696254
o,1.0,0.0,0.0,2,10,4,0,0.4,0.0,0.6,0.008588197332645632
x,1.0,0.0,0.0,2,10,6,1,0.6,0.1,0.3,0.011247485111921262
o,0.0,0.25,0.75,2,10,3,1,0.3,0.1,0.6,0.03575047119688245
x,0.0,0.25,0.75,2,10,5,0,0.5,0.0,0.5,0.04500222811134913
o,1.0,0.0,0.0,2,10,5,0,0.5,0.0,0.5,0.011873413592528043
x,1.0,0.0,0.0,2,10,0,0,0.0,0.0,1.0,0.01739576868627263
o,0.25,0.0,0.75,2,10,10,0,1.0,0.0,0.0,0.01906663512670866
x,0.25,0.0,0.75,2,10,8,0,0.8,0.0,0.2,0.021495637667755925
o,1.0,0.0,0.0,2,10,2,0,0.2,0.0,0.8,0.01976778138643024
x,0.0,1.0,0.0,2,10,3,0,0.3,0.0,0.7,0.06523236831029257
o,0.0,0.5,0.5,2,10,7,0,0.7,0.0,0.3,0.05818752922109925
x,0.0,0.5,0.5,2,10,7,0,0.7,0.0,0.3,0.0438481976126498
o,0.0,1.0,0.0,2,10,3,0,0.3,0.0,0.7,0.04298246836205909
x,0.0,1.0,0.0,2,10,5,1,0.5,0.1,0.4,0.04575649871890474
o,0.33,0.33,0.33,2,10,4,1,0.4,0.1,0.5,0.04123513769869107
x,0.33,0.33,0.33,2,10,7,0,0.7,0.0,0.3,0.05009312872494155
o,0.0,1.0,0.0,2,10,3,0,0.3,0.0,0.7,0.03778830497362987
x,0.0,1.0,0.0,2,10,6,1,0.6,0.1,0.3,0.04091621541639483
o,0.5,0.5,0.0,2,10,3,1,0.3,0.1,0.6,0.03575238158026943
x,0.5,0.5,0.0,2,10,4,0,0.4,0.0,0.6,0.04829000480743552
o,0.0,1.0,0.0,2,10,6,0,0.6,0.0,0.4,0.0400092361097331
x,0.0,1.0,0.0,2,10,6,0,0.6,0.0,0.4,0.04847038171508095
o,0.5,0.0,0.5,2,10,4,0,0.4,0.0,0.6,0.013746880687211818
x,0.5,0.0,0.5,2,10,7,0,0.7,0.0,0.3,0.01156951142453599
o,0.0,1.0,0.0,2,10,3,0,0.3,0.0,0.7,0.03448381194504359
x,0.0,1.0,0.0,2,10,4,0,0.4,0.0,0.6,0.039161276622981724
o,0.75,0.25,0.0,2,10,6,0,0.6,0.0,0.4,0.04683622619387451
x,0.75,0.25,0.0,2,10,8,0,0.8,0.0,0.2,0.05550478638164581
o,0.0,1.0,0.0,2,10,2,0,0.2,0.0,0.8,0.04545018209941464
x,0.0,1.0,0.0,2,10,3,0,0.3,0.0,0.7,0.037999747432462025
o,0.75,0.0,0.25,2,10,7,0,0.7,0.0,0.3,0.013396619033102766
x,0.75,0.0,0.25,2,10,5,0,0.5,0.0,0.5,0.009868188220014056
o,0.0,1.0,0.0,2,10,5,0,0.5,0.0,0.5,0.033435483975601844
x,0.0,1.0,0.0,2,10,4,0,0.4,0.0,0.6,0.04794858510810033
o,0.25,0.75,0.0,2,10,6,0,0.6,0.0,0.4,0.03972560941171689
x,0.25,0.75,0.0,2,10,6,0,0.6,0.0,0.4,0.05103949279671245
o,0.0,1.0,0.0,2,10,4,0,0.4,0.0,0.6,0.042239639946343256
x,0.0,1.0,0.0,2,10,5,0,0.5,0.0,0.5,0.04908488685641856
o,0.0,0.75,0.25,2,10,5,0,0.5,0.0,0.5,0.04517999355586285
x,0.0,0.75,0.25,2,10,9,0,0.9,0.0,0.1,0.052108365534599924
o,0.0,1.0,0.0,2,10,1,0,0.1,0.0,0.9,0.038550099965662846
x,0.0,1.0,0.0,2,10,2,0,0.2,0.0,0.8,0.051929964761978
o,0.0,0.25,0.75,2,10,8,0,0.8,0.0,0.2,0.04765991139294479
x,0.0,0.25,0.75,2,10,4,1,0.4,0.1,0.5,0.04464125938401382
o,0.0,1.0,0.0,2,10,5,1,0.5,0.1,0.4,0.051913308663239156
x,0.0,1.0,0.0,2,10,8,0,0.8,0.0,0.2,0.07455940508610609
o,0.25,0.0,0.75,2,10,2,0,0.2,0.0,0.8,0.017884886615336864
x,0.25,0.0,0.75,2,10,8,0,0.8,0.0,0.2,0.013025191544514036
o,0.0,1.0,0.0,2,10,2,0,0.2,0.0,0.8,0.04221393125694595
x,0.0,0.0,1.0,2,10,2,0,0.2,0.0,0.8,0.011211093813914972
o,0.0,0.5,0.5,2,10,8,0,0.8,0.0,0.2,0.03727947200658501
x,0.0,0.5,0.5,2,10,4,0,0.4,0.0,0.6,0.0697800513060503
o,0.0,0.0,1.0,2,10,6,0,0.6,0.0,0.4,0.01476966474443821
x,0.0,0.0,1.0,2,10,3,1,0.3,0.1,0.6,0.013092418584766022
o,0.33,0.33,0.33,2,10,6,1,0.6,0.1,0.3,0.046609719149163356
x,0.33,0.33,0.33,2,10,7,0,0.7,0.0,0.3,0.07381398204486149
o,0.0,0.0,1.0,2,10,3,0,0.3,0.0,0.7,0.01499644328770076
x,0.0,0.0,1.0,2,10,2,0,0.2,0.0,0.8,0.010135113460447221
o,0.5,0.5,0.0,2,10,8,0,0.8,0.0,0.2,0.046419727295294574
x,0.5,0.5,0.0,2,10,2,0,0.2,0.0,0.8,0.0649436914920807
o,0.0,0.0,1.0,2,10,8,0,0.8,0.0,0.2,0.013189844744546073
x,0.0,0.0,1.0,2,10,5,0,0.5,0.0,0.5,0.025729510168875418
o,0.5,0.0,0.5,2,10,5,0,0.5,0.0,0.5,0.029727806305063182
x,0.5,0.0,0.5,2,10,3,0,0.3,0.0,0.7,0.02122289517830158
o,0.0,0.0,1.0,2,10,7,0,0.7,0.0,0.3,0.018946167321935777
x,0.0,0.0,1.0,2,10,7,1,0.7,0.1,0.2,0.017306394590618085
o,0.75,0.25,0.0,2,10,2,1,0.2,0.1,0.7,0.07707468055013038
x,0.75,0.25,0.0,2,10,5,0,0.5,0.0,0.5,0.0821627631875202
o,0.0,0.0,1.0,2,10,5,0,0.5,0.0,0.5,0.0151025401162447
x,0.0,0.0,1.0,2,10,5,1,0.5,0.1,0.4,0.018830446658595915
o,0.75,0.0,0.25,2,10,4,1,0.4,0.1,0.5,0.02125374262360321
x,0.75,0.0,0.25,2,10,5,0,0.5,0.0,0.5,0.022165555022228722
o,0.0,0.0,1.0,2,10,5,0,0.5,0.0,0.5,0.01949686057487151
x,0.0,0.0,1.0,2,10,1,3,0.1,0.3,0.6,0.010646595012732529
